record_id,name,name_alphabetized,operational_status,organization_type,description,url,alternate_or_former_names,acronym,alternate_or_former_acronyms,budget_code,open_datasets_url,founding_year,principal_officer_full_name,principal_officer_given_name,principal_officer_middle_name_or_initial,principal_officer_family_name,principal_officer_suffix,principal_officer_name,principal_officer_title,principal_officer_contact_url,notes,instance_of,name_nycgov_agency_list,name_nycgov_mayors_office,name_nyc_open_data_portal,name_oda,name_cpo,name_wegov,name_greenbook,name_checkbook,name_hoo,name_ops,in_org_chart,reports_to,reporting_notes,jan_2025_org_chart,listed_in_nyc_gov_agency_directory
NYC_GOID_000010,Age Friendly Commission,Age Friendly Commission,Verification Pending,Advisory or Regulatory Organization,,,,,,,,,,,,,,,,,Test edit 2 - validating pipeline flow,,,,,,,,,,,Age Friendly Commission,,,,FALSE,FALSE
NYC_GOID_000011,Algorithm Advisory Committee,Algorithm Advisory Committee,Dissolved,Advisory or Regulatory Organization,,https://www1.nyc.gov/site/ampo/committees/advisory-committee.page,,,,,,,,,,,,,,,,,,,,,,,,,,Algorithm Advisory Committee,,,,FALSE,FALSE
NYC_GOID_000012,Animal Care Centers of NYC,Animal Care Centers of NYC,Active,Nonprofit Organization,,https://www.nycacc.org/,,ACC,,,,,Risa Weinstock,Risa,,Weinstock,,Risa Weinstock,Chief Executive Officer,,,,,,,,,,,,,Animal Care Centers of NYC,,,,FALSE,FALSE
NYC_GOID_000014,"Archives, Reference and Research Advisory Board","Archives, Reference and Research Advisory Board",Active,Advisory or Regulatory Organization,,https://www.nyc.gov/site/records/about/archives-reference-and-research-advisory-board.page,,ARRAB,,,,,,,,,,,,,,,,,,,,,,,,"Archives, Reference and Research Advisory Board ",,,,FALSE,FALSE
NYC_GOID_000015,Association for a Better New York,Association for a Better New York,Active,Nonprofit Organization,,https://abny.org/,,ABNY,,,,1971,Melva M. Miller,Melva,M.,Miller,,Melva M. Miller,Chief Executive Officer,,,,,,,Association for a Better New York (ABNY),,,,,,,,,,FALSE,FALSE
NYC_GOID_000016,Atlantic Yards Community Development Corporation,Atlantic Yards Community Development Corporation,Verification Pending,Public Benefit or Development Organization,,https://esd.ny.gov/atlantic-yards-community-development-corporation,,,,,,,,,,,,,,,,,,,,,,,,,,Atlantic Yards Community Development Corporation (AYCDC),,,,FALSE,FALSE
NYC_GOID_000017,Audit Committee,Audit Committee,Active,Advisory or Regulatory Organization,,https://nycauditcommittee.org/,,,,,,1979,,,,,,Tobi Jaiyesimi,,,,,,,,,,,,,,Audit Committee,,,,FALSE,TRUE
NYC_GOID_000018,Banking Commission,Banking Commission,Active,Advisory or Regulatory Organization,,https://www.nyc.gov/site/finance/about/banking-commission.page,,,,,,,,,,,,,,,,,,,,,,,,,,Banking Commission,,,,FALSE,TRUE
NYC_GOID_000019,Black Car and Livery Task Force,"Black Car and Livery, Task Force",Dissolved,Advisory or Regulatory Organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Car and Livery Task Force,,,,FALSE,FALSE
NYC_GOID_000021,Board of Correction,"Correction, Board of",Active,Advisory or Regulatory Organization,"The NYC Board of Correction establishes and ensures compliance with minimum standards regulating conditions of confinement and correctional health and mental health care in all City correctional facilities. The Board monitors conditions in the City's jails, investigates serious incidents, evaluates the performance of the Department of Correction, reviews inmate and employee grievances, and makes recommendations in critical areas of correctional planning.",https://www.nyc.gov/site/boc/index.page,,BOC,,073,,1957,Jasmine Georges-Yilla,Jasmine,,Georges-Yilla,,Jasmine Georges-Yilla,Executive Director,https://www.nyc.gov/site/boc/about/contact-the-executive-director.page,,,"Correction, Board of (BOC)","Correction, Board of (BOC)",,Board of Correction (BOC),Board of Correction,Board of Correction,"Correction, Board of",Board of Correction,"Correction, Board of (BOC)",Board of Correction,,,,TRUE,TRUE
NYC_GOID_000022,Board of Education Retirement System,"Education Retirement System, Board of",Active,Advisory or Regulatory Organization,"The New York City Board of Education Retirement System (BERS) was founded on August 31, 1921, and is one of the five public pension funds of New York City. The benefits that BERS provides include service retirement benefits, disability retirement benefits, death benefits, and a Tax-Deferred Annuity (TDA) program. BERS is one of the largest multi-employer, multi-tiered retirement systems in the United States. Our members are employed in such agencies as the Department of Education, the School Construction Authority, and the Police Department.",https://www.bers.nyc.gov/,,BERS,,,,1921,Sanford Rich,Sanford,,Rich,,Sanford Rich,Executive Director,https://www.bers.nyc.gov/site/bers/about/email-bers.page,,,Board of Education Retirement System (BERS),Board of Education Retirement System (BERS),,Board of Education Retirement System (BERS),Board of Education Retirement System,Board of Education Retirement System,"Education Retirement System, Board of",,Board of Education Retirement System (BERS),,,,,FALSE,TRUE
NYC_GOID_000023,Board of Elections,"Elections, Board of",Active,Advisory or Regulatory Organization,"The Board of Elections is an administrative body of 10 bipartisan Commissioners, two from each borough, appointed by the City Council for a term of four years. The Board oversees voter, poll site, and campaign-related issues",https://vote.nyc/,,BOE,,003,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Board+of+Elections+%28BOENY%29,1974,Michael J. Ryan,Michael,,Ryan,,Simon Shamoun,Executive Director,https://vote.nyc/page/contact-us,,,"Elections, Board of (BOE)","Elections, Board of (BOE)",Board of Elections (BOENY),Board of Elections (BOE),,Board of Elections,"Elections, Board of",Board of Elections,"Elections, Board of (BOE)",Board of Elections,,,,FALSE,TRUE
NYC_GOID_000024,Board of Health,"Health, Board of",Active,Advisory or Regulatory Organization,,https://www1.nyc.gov/site/doh/about/about-doh/board-of-health.page,,,,,,1805,,,,,,Michelle Morse,,,,,,,,,,,,,,Board of Health,,,,FALSE,TRUE
NYC_GOID_000025,Board of Standards and Appeals,"Standards and Appeals, Board of",Active,Advisory or Regulatory Organization,The Board of Standards and Appeals hears and decides appeals from property owners whose various building and renovation applications have been denied as contrary to law by the enforcement agencies.,https://www.nyc.gov/site/bsa/index.page,,BSA,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Board+of+Standards+and+Appeals+%28BSA%29&category=City+Government,1916,Carlo Costanza,Carlo,,Costanza,,Shampa Chanda,Executive Director,https://www.nyc.gov/site/bsa/contact-bsa/contact-the-bsa.page,,,"Standards and Appeals, Board of (BSA)","Standards and Appeals, Board of (BSA)",Board of Standards and Appeals (BSA),Board of Standards and Appeals (BSA),Board of Standards and Appeals,Board of Standards And Appeals,"Standards And Appeals, Board of",,"Standards and Appeals, Board of (BSA)",Board of Standards and Appeals,,,,FALSE,TRUE
NYC_GOID_000026,Office of the Borough President of The Bronx,"Borough President, Bronx",Active,Elected Office,The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.,https://bronxboropres.nyc.gov/,,,,011,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Bronx+Borough+President+%28BPBX%29,1898,Vanessa L. Gibson,Vanessa,L.,Gibson,,Vanessa L. Gibson,Bronx Borough President,https://bronxboropres.nyc.gov/contact/,,,,,,,,,,,Borough President- Bronx,Boro President Bronx,TRUE,,,TRUE,TRUE
NYC_GOID_000027,Office of the Borough President of Brooklyn,"Borough President, Brooklyn",Active,Elected Office,The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.,https://www.brooklynbp.nyc.gov/,,,,012,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Brooklyn+Borough+President+%28BPBK%29,1898,Antonio Reynoso,Antonio,,Reynoso,,Antonio Reynoso,Brooklyn Borough President,https://www.brooklynbp.nyc.gov/contact/,,,,,,,,,,,Borough President- Brooklyn,Boro President Brooklyn,TRUE,,,TRUE,TRUE
NYC_GOID_000028,Office of the Borough President of Manhattan,"Borough President, Manhattan",Active,Elected Office,The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.,https://www.manhattanbp.nyc.gov/,,,,010,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Manhattan+Borough+President+%28MBPO%29,1898,Mark D. Levine,Mark,D.,Levine,,Mark D. Levine,Manhattan Borough President,https://www.manhattanbp.nyc.gov/connect/,,,,,,,,,,,Borough President- Manhattan,Boro President Manhattan,TRUE,,,TRUE,TRUE
NYC_GOID_000029,Office of the Borough President of Queens,"Borough President, Queens",Active,Elected Office,The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.,https://www.queensbp.nyc.gov/,,,,013,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Queens+Borough+President+%28QBP%29,1898,Donovan J. Richards Jr.,Donovan,J.,Richards,Jr.,Donovan J. Richards Jr.,Queens Borough President,https://www.queensbp.nyc.gov/,,,,,,,,,,,Borough President- Queens,Boro President Queens,TRUE,,,TRUE,TRUE
NYC_GOID_000030,Office of the Borough President of Staten Island,"Borough President, Staten Island",Active,Elected Office,The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.,https://www.statenislandusa.com/bp-office.html,,,,014,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Staten+Island+Borough+President+%28BPSI%29,1898,Vito J. Fossella,Vito,J.,Fossella,,Vito J. Fossella,Staten Island Borough President,https://www.statenislandusa.com/contact.html,,,,,,,,,,,Borough President- Staten Island,Boro President Staten Island,TRUE,,,TRUE,TRUE
NYC_GOID_000034,Brooklyn Bridge Park Corporation,Brooklyn Bridge Park Corporation,Active,Public Benefit or Development Organization,,https://brooklynbridgepark.org/about/brooklyn-bridge-park-corporation/,,BBP,,,,2010,Eric Landau,Eric,,Landau,,Eric Landau,President,,,,,,,,,,Brooklyn Bridge Park Corporation,,,Brooklyn Bridge Park Corporation,,,,FALSE,TRUE
NYC_GOID_000035,Brooklyn Bridge Park Development Corporation,Brooklyn Bridge Park Development Corporation,Dissolved,Public Benefit or Development Organization,,https://esd.ny.gov/brooklyn-bridge-park-development-corporation-subsidiary,,,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Bridge Park Development Corporation,,,,FALSE,FALSE
NYC_GOID_000036,Brooklyn Marine Terminal Task Force,Brooklyn Marine Terminal Task Force,Verification Pending,Advisory or Regulatory Organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Marine Terminal Task Force,,,,FALSE,FALSE
NYC_GOID_000037,Brooklyn Navy Yard Development Corporation,Brooklyn Navy Yard Development Corporation,Active,Public Benefit or Development Organization,"The Brooklyn Navy Yard (the Yard) is a mission-driven industrial park that is a nationally acclaimed model of the viability and positive impact of modern, urban industrial development. The Yard is home to 450+ businesses employing more than 11,000 people and generating over $2.5 billion per year in economic impact for the city. Building on the Yard's history as the economic heart of Brooklyn, the 300-acre waterfront asset offers a critical pathway to the middle class for many New Yorkers.",https://www.brooklynnavyyard.org/,,BNYDC,,,,1981,Lindsay Greene,Lindsay,,Greene,,Lindsay Greene,Chief Executive Officer & President,https://www.brooklynnavyyard.org/,,,Brooklyn Navy Yard,Brooklyn Navy Yard,,Brooklyn Navy Yard Development Corporation (BNYDC),,,Brooklyn Navy Yard Development Corporation,,Brooklyn Navy Yard,Brooklyn Navy Yard Development Corporation,,,,FALSE,TRUE
NYC_GOID_000038,Brooklyn Public Library,"Public Library, Brooklyn",Active,Nonprofit Organization,,https://www.bklynlibrary.org/,,BPL,,038,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Brooklyn+Public+Library+%28BPL%29,1896,Linda E. Johnson,Linda,E.,Johnson,,Linda E. Johnson,President and CEO,https://www.bklynlibrary.org/contact,,,"Brooklyn Public Library (BPL); Library, Brooklyn Public (BPL)","Brooklyn Public Library (BPL); Library, Brooklyn Public (BPL)",Brooklyn Public Library (BPL),Brooklyn Public Library (BPL),,Brooklyn Public Library,Brooklyn Public Library,Brooklyn Public Library,"Brooklyn Public Library (BPL); Library, Brooklyn Public (BPL)",Brooklyn Public Library,,,,FALSE,FALSE
NYC_GOID_000040,Business Integrity Commission,Business Integrity Commission,Active,Advisory or Regulatory Organization,"The Business Integrity Commission is responsible for the regulation of the trade waste industry, the shipboard gambling industry, the Fulton Fish Market distribution area and other seafood distribution areas, and the public wholesale markets. The Commission consists of a full-time chairperson appointed by the Mayor and of the Commissioners of the Departments of Small Business Services, Consumer Affairs, Investigation, Sanitation, and the Police Department.",https://www.nyc.gov/site/bic/index.page,,BIC,,829,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Business+Integrity+Commission+%28BIC%29,2002,Elizabeth Crotty,Elizabeth,,Crotty,,Elizabeth Crotty,Commissioner/Chair,https://www.nyc.gov/site/bic/contact/email-the-commissioner.page,,,Business Integrity Commission (BIC),Business Integrity Commission (BIC),Business Integrity Commission (BIC),Business Integrity Commission (BIC),Business Integrity Commission,Business Integrity Commission,Business Integrity Commission,Business Integrity Commission,Business Integrity Commission (BIC),Business Integrity Commission,TRUE,Chief Counsel to the Mayor and City Hall,,TRUE,TRUE
NYC_GOID_000041,Cabinet for Older New Yorkers,Cabinet for Older New Yorkers,Active,Advisory or Regulatory Organization,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE
NYC_GOID_000042,Campaign Finance Board,Campaign Finance Board,Active,Advisory or Regulatory Organization,"The Campaign Finance Board administers the City Campaign Finance Program, publishes the City Voter Guide, and implements the debate requirement for candidates running for Mayor, Comptroller, and Public Advocate.",https://www.nyccfb.info/,,CFB,,004,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Campaign+Finance+Board+%28CFB%29,1988,Paul S. Ryan,Paul,,Ryan,,Frederick Schaffer,Executive Director,http://www.nyccfb.info/about/contact,,,Campaign Finance Board (CFB),Campaign Finance Board (CFB),Campaign Finance Board (CFB),Campaign Finance Board (CFB),Campaign Finance Board,Campaign Finance Board,Campaign Finance Board,Campaign Finance Board,Campaign Finance Board (CFB),Campaign Finance Board,,,,FALSE,TRUE
NYC_GOID_000043,Cannabis Advisory Council,Cannabis Advisory Council,Verification Pending,Advisory or Regulatory Organization,,,,,,,,,Tremaine Wright,Tremaine,,Wright,,Tremaine Wright,Chair,,,,,,,,,,,,,Cannabis Advisory Council,,,,FALSE,FALSE
NYC_GOID_000044,Caribbean Advisory Council,Caribbean Advisory Council,Verification Pending,Advisory or Regulatory Organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caribbean Advisory Council,,,,FALSE,FALSE
NYC_GOID_000045,Catskill Watershed Corporation,Catskill Watershed Corporation,Active,Public Benefit or Development Organization,,https://cwconline.org/,,CWC,,,,,Jason Merwin,Jason,,Merwin,,Jason Merwin,Executive Director,,,,,,,,,,,,,Catskill Watershed Corporation,,,,FALSE,TRUE
NYC_GOID_000047,Center for Innovation through Data Intelligence,Center for Innovation through Data Intelligence,Active,Mayoral Office,"The Center for Innovation through Data Intelligence (CIDI) is a data intelligence team in the Office of the Deputy Mayor for Health and Human Services (HHS), Office of the Mayor, who establishes partnerships that can leverage the analytical resources of the City of New York through an innovative inter-agency research agenda. This position affords CIDI greater access to data and ensures persons' confidentiality in its research activities.",https://www.nyc.gov/site/cidi/index.page,,CIDI,,002,,2011,Maryanne Schretzman,Maryanne,,Schretzman,,MaryAnne Schretzman,Executive Director,https://www.nyc.gov/site/cidi/contact/contact.page,,,Center for Innovation through Data Intelligence (CIDI),Center for Innovation through Data Intelligence (CIDI),,Center for Innovation through Data Intelligence (CIDI),Center for Innovation through Data Intelligence,Center for Innovation through Data Intelligence,,,Center for Innovation through Data Intelligence (CIDI),Center for Innovation through Data Intelligence,TRUE,Deputy Mayor for Strategic Initiatives,,TRUE,TRUE
NYC_GOID_000048,Central Park Conservancy,Central Park Conservancy,Active,Nonprofit Organization,,https://www.centralparknyc.org/,,,,,,,Elizabeth W. Smith,Elizabeth,W.,Smith,,Elizabeth W. Smith,President & CEO,,,,,,,,,,,,,Central Park Conservancy,,,,FALSE,FALSE
NYC_GOID_000050,Charter Revision Commission,Charter Revision Commission,Active,Advisory or Regulatory Organization,"The Charter Revision Commission is charged with reviewing the entire Charter of the City of New York, holding hearings in all five boroughs to solicit public input, and issuing a report outlining findings and recommendations to amend or revise the Charter.",https://www.nyc.gov/site/charter/index.page,,,,,,,Alec Schierenbeck,Alec,R.,Schierenbeck,Jr.,"Richard R. Buery, Jr.",Executive Director,https://www.nyc.gov/site/charter/contact/contact-charter.page,,,Charter Revision Commission,Charter Revision Commission,,Charter Revision Commission (CRC),,,,,Charter Revision Commission,Charter Revision Commission,,,,FALSE,TRUE
NYC_GOID_000052,Chief Climate Officer,Chief Climate Officer,Active,Mayoral Office,,,,,,002,,2022,Rohit Aggarwala,Rohit,,Aggarwala,,Rohit Aggarwala,Chief Climate Officer,,,,,,,,,,,,,Chief Climate Officer,TRUE,Deputy Mayor for Operations,,TRUE,TRUE
NYC_GOID_000053,Chief Efficiency Officer,Chief Efficiency Officer,Active,Mayoral Office,,,,,,002,,2022,Denise Clay,Denise,,Clay,,Denise Clay,Chief Efficiency Officer,,,,,,,Mayor's Office of Efficiency,Mayor's Office of Efficiency,,,,Mayor's Office - Chief Efficiency Officer,Chief Efficiency Officer,TRUE,First Deputy Mayor,,TRUE,TRUE
NYC_GOID_000054,Chief Housing Officer,Chief Housing Officer,Reorganized,Mayoral Office,,https://www.nyc.gov/office-of-the-mayor/admin-officials.page,,,,002,,2022,,,,,,,Chief Housing Officer,https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,,,,Office of the Chief Housing Officer,,,Chief Housing Officer,,,,Mayor's Office - Chief Housing officer (Resigned in July),,,,,FALSE,FALSE
NYC_GOID_000056,Child Care Advisory Board,Child Care Advisory Board,Verification Pending,Advisory or Regulatory Organization,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,Child Care Advisory Board,,,,FALSE,FALSE
NYC_GOID_000057,Child Care Task Force,Child Care Task Force,Dissolved,Advisory or Regulatory Organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care Task Force,,,,FALSE,FALSE
NYC_GOID_000058,Child Fatality Review Advisory Team,Child Fatality Review Advisory Team,Verification Pending,Advisory or Regulatory Organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,Child Fatality Review Advisory Team,,,,FALSE,FALSE
NYC_GOID_000059,American Museum of Natural History,American Museum of Natural History,Active,Nonprofit Organization,,https://www.amnh.org/,,AMNH,,,,,Sean M. Decatur,Sean,,Decatur,,Sean Decatur,President,,,Cultural Institutions Group,,,,,,,,,,CIG - American Museum of Natural History,,,,FALSE,FALSE
NYC_GOID_000060,Bronx County Historical Society,"Historical Society, Bronx County",Active,Nonprofit Organization,,https://bronxhistoricalsociety.org,,,,,,,Gary Hermalyn,Gary,,Hermalyn,,,CEO,,,Cultural Institutions Group,,,,,,,,,,CIG - Bronx County Historical Society,,,,FALSE,FALSE
NYC_GOID_000061,Bronx Museum of the Arts,"Museum of the Arts, Bronx",Active,Nonprofit Organization,,https://www.bronxmuseum.org/,,,,,,,Shamim M. Momin,Shamim,,Momin,,,Director & Chief Curator,,,Cultural Institutions Group,,,,,,,,,,CIG - Bronx Museum of the Arts,,,,FALSE,FALSE
NYC_GOID_000062,Brooklyn Academy of Music,"Academy of Music, Brooklyn",Active,Nonprofit Organization,,https://www.bam.org/,,BAM,,,,,Tamara McCaw,Tamara,,McCaw,,,Interim Chief Executive Officer,,,Cultural Institutions Group,,,,,,,,,,CIG - Brooklyn Academy of Music (BAM),,,,FALSE,FALSE
NYC_GOID_000063,Brooklyn Botanic Garden,"Botanic Garden, Brooklyn",Active,Nonprofit Organization,,https://www.bbg.org/,,BBG,,,,,Adrian Benepe,Adrian,,Benepe,,,President and CEO,,,Cultural Institutions Group,,,,,,,,,,CIG - Brooklyn Botanical Garden,,,,FALSE,FALSE
NYC_GOID_000064,Brooklyn Children's Museum,"Children's Museum, Brooklyn",Active,Nonprofit Organization,,https://www.brooklynkids.org/,,BCM,,,,,Atiba T. Edwards,Atiba,,Edwards,,,President and CEO,,,Cultural Institutions Group,,,,,,,,,,CIG - Brooklyn Children's Museum,,,,FALSE,FALSE
NYC_GOID_000065,Brooklyn Museum,"Museum, Brooklyn",Active,Nonprofit Organization,,https://www.brooklynmuseum.org/,,,,,,,Anne Pasternak,Anne,,Pasternak,,Anne Pasternak,Shelby White and Leon Levy Director,,,Cultural Institutions Group,,,,,,,,,,CIG - Brooklyn Museum,,,,FALSE,FALSE
NYC_GOID_000066,Carnegie Hall,Carnegie Hall,Active,Nonprofit Organization,,https://www.carnegiehall.org/,,,,,,,Sir Clive Gillinson,Clive,,Gillinson,,Sir Clive Gillinson,Executive and Artistic Director,,,Cultural Institutions Group,,,,,,,,,,CIG - Carnegie Hall,,,,FALSE,FALSE
NYC_GOID_000067,El Museo del Barrio,El Museo del Barrio,Active,Nonprofit Organization,,https://www.elmuseo.org/,,,,,,,Patrick Charpenel,Patrick,,Charpenel,,,Executive Director,,,Cultural Institutions Group,,,,,,,,,,CIG - El Museo del Barrio,,,,FALSE,FALSE
NYC_GOID_000068,Flushing Council on Culture and the Arts / Flushing Town Hall,Flushing Council on Culture and the Arts / Flushing Town Hall,Active,Nonprofit Organization,,https://www.flushingtownhall.org/,Flushing Town Hall,,,,,,Ellen Kodadek,Ellen,,Kodadek,,,Executive and Artistic Director,,,Cultural Institutions Group,,,,,,,,,,CIG - Flushing Council on Culture and the Arts / Flushing Town Hall,,,,FALSE,FALSE
NYC_GOID_000069,Jamaica Center for Arts and Learning,Jamaica Center for Arts and Learning,Active,Nonprofit Organization,,https://www.jcal.org/,,JCAL,,,,,Leonard Jacobs,Leonard,,Jacobs,,Ellen Keane,Executive Director,,,Cultural Institutions Group,,,,,,,,,,CIG - Jamaica Center for Arts and Learning,,,,FALSE,FALSE
NYC_GOID_000070,Jazz at Lincoln Center,Jazz at Lincoln Center,Active,Nonprofit Organization,,https://www.jazz.org/,,,,,,,Wynton Marsalis,Wynton,,Marsalis,,Wynton Marsalis,Managing and Artistic Director,,,Cultural Institutions Group,,,,,,,,,,CIG - Jazz at Lincoln Center,,,,FALSE,FALSE
